Sigle,Titre,Credit,url,Prerequisites
CHN 1913,Lire en chinois 2 (niveau B2.2),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1913/,CHN1912 ou CHN3080 ou compétence équivalente.
GRC 1111,Initiation à la langue grecque 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/grc-1111/,
GRC 1121,Initiation à la langue grecque 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/grc-1121/,GRC1111
LAT 1111,Initiation à la langue latine 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lat-1111/,
LAT 1121,Initiation à la langue latine 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lat-1121/,LAT1111
AES 2034,Pensée chinoise par les textes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/aes-2034/,
AES 3010,Lire la pensée chinoise antique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/aes-3010/,
ANT 1013,Éléments d'ethnologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ant-1013/,
ANT 2026,Anthropologie politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ant-2026/,
COM 1300,Théories de la communication,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/com-1300/,
COM 2200,"Communication, interaction et discours",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/com-2200/,COM1300
ECN 1000,Principes d'économie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1000/,
ECN 1050,Introduction à la macroéconomie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1050/,
ECN 1350,Histoire économique du monde occidental,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1350/,
ECN 1600,Histoire de la pensée économique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1600/,
FAS 1005,Introduction aux sciences humaines,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fas-1005/,
FRA 1027,Histoire de la littérature,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fra-1027/,
FRA 1110,Introduction aux classicismes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fra-1110/,
FRA 2100,Littérature française du Moyen Âge,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fra-2100/,
FRA 2112,Littérature française du 18e siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fra-2112/,
FRA 3313,Littérature et psychanalyse,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fra-3313/,
FRA 3314,Littérature et philosophie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fra-3314/,
GRC 1031,Introduction à la littérature grecque,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/grc-1031/,
HAR 1166,Histoires mondiales de l’art 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/har-1166/,
HAR 1167,Histoires mondiales de l’art 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/har-1167/,
HAR 1200,Introduction à l'art moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/har-1200/,
HAR 2252,L’art au 18e siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/har-2252/,
HAR 2295,L’art au 19e siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/har-2295/,
HAR 3040,Histoire et pratique de la critique d'art,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/har-3040/,
HST 1031,Histoire de l'Antiquité,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1031/,
HST 1041,L'Europe moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1041/,
HST 1042,L'Europe contemporaine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1042/,
IFT 1015,Programmation 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1015/,
IFT 1025,Programmation 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1025/,IFT1015 ou IFT1016
IFT 1065,Structures discrètes en informatique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1065/,Collège 201-103-77 et 201-105-77.
IFT 1810,Introduction à la programmation,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1810/,
LAT 1031,Histoire de la littérature latine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lat-1031/,
LCO 1000,Introduction à la littérature comparée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lco-1000/,
LCO 1008,Oeuvres de la littérature mondiale 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lco-1008/,
LCO 2040,Oeuvres de la littérature mondiale 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lco-2040/,
LCO 3010,Théories de la littérature,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lco-3010/,
LNG 1540,Notions de syntaxe,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lng-1540/,
LNG 1955,Notions générales de linguistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lng-1955/,
LNG 2240,Pragmatique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/lng-2240/,
MAT 1000,Analyse 1,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1000/,
MAT 1101,Mathématiques fondamentales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1101/,
PHY 1651,Mécanique classique 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1651/,
PHY 1652,Relativité 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1652/,PHY1651
POL 3235,Politiques scientifiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3235/,
PSY 1085,L'apprentissage,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psy-1085/,
PSY 2055,Psychologie de la perception,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psy-2055/,PSY1006
PSY 2065,Processus cognitifs 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psy-2065/,PSY1006 ou être étudiant du programme 1-530-1-0; Équivalents: PSY2065/FAS1060
PSY 2115,Psychopathologie: introduction,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psy-2115/,PSY1006
PSY 3022,Histoire critique de la psychologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psy-3022/,Préalable : Avoir complété un minimum de 30 crédits au programme d'études
REL 2980,Fondements religieux de l'Occident,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/rel-2980/,
